startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
M127,M125,06:33:08,3,-1,1,MY9211,23
C654/3,C653/2,06:33:35,3,-1,1,MY9282,37
T339/4,T408/1,06:34:06,3,-1,-1,MY9487,94
C653/2,C692,06:34:51,3,-1,1,MY9282,52
M125,M136/2,06:35:25,3,-1,1,MY9211,86
M136/2,M139/2,06:35:54,3,-1,1,MY9211,18
T408/1,T343,06:35:58,3,-1,-1,MY9487,91
C692,C689/1,06:37:08,3,-1,1,MY9282,122
M139/2,M184,06:37:49,3,-1,1,MY9211,72
M184,M188,06:38:13,3,-1,1,MY9211,13
T343,T316,06:38:21,3,-1,1,MY9487,84
M188,M203/2,06:39:29,3,-1,1,MY9211,63
C689/1,T355/2,06:39:52,3,-1,1,MY9282,130
M203/2,M277,06:40:23,3,-1,-1,MY9211,40
T316,T345/5,06:40:37,3,-1,-1,MY9487,128
M95/3,M22,06:41:12,3,-1,-1,MY9278,24
T345/5,T344,06:42:17,3,-1,1,MY9487,86
T355/2,T360,06:42:24,3,-1,1,MY9282,121
M277,M182/1,06:42:31,3,-1,1,MY9211,117
M22,M10,06:43:13,3,-1,1,MY9278,81
T344,T356/1,06:43:28,3,-1,1,MY9487,40
T360,T376/1,06:43:49,3,-1,1,MY9282,74
T376/1,T363/1,06:44:46,3,-1,1,MY9282,50
M10,M16/1,06:45:07,3,-1,-1,MY9278,75
T363/1,T374,06:45:39,3,-1,1,MY9282,31
T356/1,T358,06:46:02,3,-1,1,MY9487,150
M182/1,T431,06:46:09,3,-1,1,MY9211,204
T374,T406,06:46:16,3,-1,1,MY9282,26
T358,T373/2,06:47:03,3,-1,1,MY9487,30
M16/1,M109,06:47:17,3,-1,1,MY9278,13
T431,T335/2,06:47:37,3,-1,1,MY9211,64
T373/2,T375,06:48:01,3,-1,1,MY9487,33
T335/2,T338,06:48:15,3,-1,-1,MY9211,10
T338,T326/3,06:49:17,3,-1,-1,MY9211,51
T375,T380,06:49:22,3,-1,2,MY9487,47
T380,T379,06:49:43,3,-1,2,MY9487,10
M109,M112,06:49:53,3,-1,1,MY9278,108
T379,T359,06:50:13,3,-1,1,MY9487,20
T359,T355/1,06:51:24,3,-1,1,MY9487,64
T406,T345/1,06:51:24,3,-1,-1,MY9282,297
M112,M127,06:51:44,3,-1,-1,MY9278,20
T332/2,T325/2,06:51:44,3,-1,-1,MY9211,50
T325/2,T339/4,06:52:21,3,-1,-1,MY9211,16
M127,M125,06:52:48,3,-1,1,MY9278,33
T345/1,T322,06:53:22,3,-1,-1,MY9282,84
M125,M136/2,06:54:36,3,-1,1,MY9278,71
C653/2,C692,06:55:01,3,-1,1,MY9362,61
M136/2,M139/2,06:55:15,3,-1,1,MY9278,24
M136/2,M139/2,06:55:22,3,-1,1,MY9278,3
T355/1,C688/1,06:55:26,3,-1,1,MY9487,231
T322,T342,06:55:26,3,-1,-1,MY9282,92
T408/1,T343,06:56:00,3,-1,-1,MY9211,113
T342,T409,06:56:39,3,-1,1,MY9282,52
M139/2,M184,06:56:59,3,-1,1,MY9278,66
C688/1,C691,06:57:34,3,-1,-1,MY9487,101
M184,M188,06:57:38,3,-1,1,MY9278,28
C692,C689/1,06:57:41,3,-1,1,MY9362,121
T409,T368,06:58:05,3,-1,1,MY9282,55
T343,T316,06:58:17,3,-1,1,MY9211,109
M188,M203/2,06:58:49,3,-1,1,MY9278,39
T368,T324/2,06:59:00,3,-1,1,MY9282,31
C691,C652,06:59:44,3,-1,1,MY9487,112
M203/2,M277,06:59:55,3,-1,-1,MY9278,55
C689/1,T355/2,07:00:19,3,-1,1,MY9362,125
M95/3,M22,07:00:22,3,-1,-1,MY9491,20
T316,T345/5,07:00:29,3,-1,-1,MY9211,124
C652,C655,07:00:39,3,-1,1,MY9487,30
T324/2,T327,07:00:53,3,-1,1,MY9282,69
T327,T326/2,07:01:33,3,-1,1,MY9282,33
T345/5,T344,07:01:47,3,-1,1,MY9211,60
M22,M10,07:02:17,3,-1,1,MY9491,70
M277,M182/1,07:02:20,3,-1,1,MY9278,138
C657,C686,07:02:20,3,-1,1,MY9487,20
T326/2,T337,07:02:20,3,-1,1,MY9282,40
T355/2,T360,07:02:39,3,-1,1,MY9362,113
T344,T356/1,07:02:43,3,-1,1,MY9211,28
T337,T334,07:03:14,3,-1,-1,MY9282,20
C686,C656,07:03:41,3,-1,1,MY9487,27
T360,T376/1,07:04:01,3,-1,1,MY9362,57
T334,T430,07:04:45,3,-1,-1,MY9282,64
T356/1,T358,07:04:49,3,-1,1,MY9211,105
M10,M16/1,07:04:52,3,-1,-1,MY9491,95
C656,C654/3,07:05:06,3,-1,1,MY9487,51
T376/1,T363/1,07:05:20,3,-1,1,MY9362,71
T358,T373/2,07:05:26,3,-1,1,MY9211,30
M16/1,M109,07:05:47,3,-1,1,MY9491,17
M182/1,T431,07:05:57,3,-1,1,MY9278,206
T373/2,T375,07:06:08,3,-1,1,MY9211,20
T363/1,T374,07:06:11,3,-1,1,MY9362,27
T375,T380,07:06:44,3,-1,1,MY9211,20
T374,T406,07:06:58,3,-1,1,MY9362,30
T431,T335/2,07:07:09,3,-1,1,MY9278,61
T380,T379,07:07:20,3,-1,1,MY9211,7
T335/2,T338,07:07:51,3,-1,1,MY9278,13
T379,T359,07:08:32,3,-1,1,MY9211,61
C654/3,C653/2,07:08:42,3,-1,1,MY9487,50
M109,M112,07:08:59,3,-1,1,MY9491,105
T338,T326/3,07:09:16,3,-1,-1,MY9278,57
T359,T355/1,07:09:32,3,-1,1,MY9211,50
T430,M177,07:09:46,3,-1,1,MY9282,290
T326/3,T332/2,07:10:52,3,-1,1,MY9278,89
C653/2,C692,07:10:52,3,-1,1,MY9487,92
M112,M127,07:11:22,3,-1,-1,MY9491,23
T332/2,T325/2,07:11:47,3,-1,-1,MY9278,45
T406,T345/1,07:12:01,3,-1,-1,MY9362,292
T325/2,T339/4,07:12:42,3,-1,-1,MY9278,16
M177,M198,07:13:09,3,-1,1,MY9282,161
M127,M125,07:13:29,3,-1,1,MY9491,50
C692,C689/1,07:13:29,3,-1,1,MY9487,119
M127,M125,07:13:39,3,-1,1,MY9491,3
T355/1,C688/1,07:13:39,3,-1,1,MY9211,225
C692,C689/1,07:13:39,3,-1,1,MY9487,3
T345/1,T322,07:14:06,3,-1,-1,MY9362,101
T339/4,T408/1,07:14:44,3,-1,-1,MY9278,111
C688/1,C691,07:15:38,3,-1,-1,MY9211,27
M198,M183/2,07:15:42,3,-1,1,MY9282,122
M125,M136/2,07:15:58,3,-1,1,MY9491,91
T322,T342,07:16:10,3,-1,-1,MY9362,96
C689/1,T355/2,07:16:19,3,-1,1,MY9487,142
M136/2,M139/2,07:16:33,3,-1,1,MY9491,14
T342,T409,07:16:57,3,-1,-1,MY9362,34
T408/1,T343,07:17:15,3,-1,-1,MY9278,130
C691,C652,07:17:58,3,-1,1,MY9211,84
T409,T368,07:18:06,3,-1,1,MY9362,37
M183/2,M140/1,07:18:33,3,-1,-1,MY9282,95
T368,T324/2,07:18:36,3,-1,1,MY9362,16
T355/2,T360,07:19:03,3,-1,1,MY9487,136
C652,C655,07:19:07,3,-1,1,MY9211,34
M140/1,M137/2,07:19:34,3,-1,1,MY9282,50
T343,T316,07:19:41,3,-1,1,MY9278,112
M139/2,M184,07:19:54,3,-1,1,MY9491,101
T324/2,T327,07:20:04,3,-1,1,MY9362,57
