startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
C657,C660,07:24:37,3,-1,1,AB5425,43
C654/2,C653/2,07:25:07,3,-1,2,AC1346,50
C660,C662,07:25:31,3,-1,1,AB5425,23
C662,C664,07:26:01,3,-1,1,AB5425,26
C664,C666,07:26:48,3,-1,1,AB5425,16
C653/2,C692,07:27:05,3,-1,2,AC1346,77
C666,C677,07:27:29,3,-1,-1,AB5425,30
C677,C667,07:28:00,3,-1,-1,AB5425,20
C667,C676,07:28:26,3,-1,-1,AB5425,16
C692,C689/1,07:28:50,3,-1,1,AC1346,78
C676,C680,07:29:52,3,-1,-1,AB5425,61
C680,C669/1,07:30:39,3,-1,-1,AB5425,20
C689/1,T360,07:31:03,3,-1,-1,AC1346,98
C669/1,C693,07:31:53,3,-1,-1,AB5425,53
T336/2,T335/2,07:32:34,3,-1,1,AB5900,33
T360,T376/1,07:32:58,3,-1,1,AC1346,91
T335/2,T338,07:33:25,3,-1,-1,AB5900,6
C693,C681,07:34:29,3,-1,-1,AB5425,148
T338,T326/3,07:34:36,3,-1,-1,AB5900,61
T376/1,T363/1,07:34:49,3,-1,1,AC1346,101
C681,C671,07:35:29,3,-1,-1,AB5425,49
T326/3,T332/2,07:35:50,3,-1,1,AB5900,53
T363/1,T306,07:36:10,3,-1,1,AC1346,51
C671,C695,07:37:03,3,-1,-1,AB5425,86
T332/2,T325/2,07:37:14,3,-1,-1,AB5900,80
T325/2,T339/4,07:37:39,3,-1,-1,AB5900,10
C695,C673,07:39:03,3,-1,-1,AB5425,95
T318,T319,07:39:36,3,-1,-1,AC1346,78
T339/4,T313,07:39:40,3,-1,1,AB5900,110
C673,C672,07:40:00,3,-1,-1,AB5425,31
T319,T320,07:40:51,3,-1,-1,AC1346,40
T313,T315,07:40:58,3,-1,1,AB5900,10
T320,T321/2,07:42:00,3,-1,-1,AC1346,17
T315,T375,07:42:10,3,-1,1,AB5900,61
C672,C670,07:42:54,3,-1,-1,AB5425,127
T321/2,T323,07:43:12,3,-1,1,AC1346,21
T375,T380,07:43:41,3,-1,-1,AB5900,50
C670,C679,07:43:43,3,-1,-1,AB5425,30
T323,T324/2,07:43:57,3,-1,1,AC1346,19
T380,T379,07:44:30,3,-1,1,AB5900,15
T324/2,T327,07:45:40,3,-1,1,AC1346,66
C679,C694,07:46:03,3,-1,-1,AB5425,128
T359,T355/1,07:46:14,3,-1,3,AB5900,57
T327,T326/1,07:46:41,3,-1,1,AC1346,27
C694,C669/2,07:46:55,3,-1,-1,AB5425,30
C669/2,C687,07:47:42,3,-1,-1,AB5425,26
T326/1,T337,07:47:52,3,-1,-1,AC1346,64
C687,C675,07:49:10,3,-1,-1,AB5425,60
C675,C668,07:49:40,3,-1,1,AB5425,23
C668,C678,07:50:01,3,-1,1,AB5425,13
C678,C665,07:50:34,3,-1,1,AB5425,20
C665,C663,07:50:59,3,-1,1,AB5425,14
C663,C661,07:51:40,3,-1,1,AB5425,26
C661,C659,07:52:14,3,-1,1,AB5425,23
C688/1,C691,07:53:14,3,-1,1,AB5900,84
C659,C656,07:53:14,3,-1,1,AB5425,43
C656,C654/2,07:54:19,3,-1,1,AB5425,50
C691,C652,07:55:23,3,-1,1,AB5900,88
C654/2,C653/2,07:55:50,3,-1,1,AB5425,40
C652,C655,07:56:26,3,-1,1,AB5900,29
C652,C655,07:56:33,3,-1,1,AB5900,3
C655,C657,07:57:45,3,-1,-1,AB5900,48
C653/2,C692,07:58:23,3,-1,2,AB5425,149
C657,C660,07:58:52,3,-1,1,AB5900,39
C660,C662,07:59:40,3,-1,-1,AB5900,15
C692,C689/1,08:00:13,3,-1,1,AB5425,69
C662,C664,08:00:17,3,-1,1,AB5900,25
C664,C666,08:00:43,3,-1,1,AB5900,15
C666,C677,08:01:03,3,-1,-1,AB5900,11
C677,C667,08:01:33,3,-1,-1,AB5900,16
C667,C676,08:02:11,3,-1,-1,AB5900,13
